SKU,Item,Footprint,Confidence,Status
RES-QW,1/4W Metal Film Resistor - 10 pack,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
RES-QW-BAG,1/4W Metal Film Resistor - Bag of 200,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
CAP-300B,Box Film Capacitors - 10 pack,Library:C_Rect_L7.0mm_W2.0mm_P5.00mm,HIGH,local copy of KiCad 10.0.5 default footprint
CAP-E,Aluminum Electrolytic Capacitor - General Purpose - 10 pack,Library:CAP-E,REVIEW,generic D<=10mm / P2.5mm prototype footprint; choose exact capacitor footprint for production
CAP-MLC,MLCC Ceramic Capacitor - 10 pack,Library:C_Disc_D5.0mm_W2.5mm_P5.00mm,HIGH,local copy of KiCad 10.0.5 default footprint
CAP-300-,Metal Film Capacitors - 50V - 10 pack,Library:C_Rect_L7.0mm_W2.0mm_P5.00mm,HIGH,local copy of KiCad 10.0.5 default footprint
CAP-A,Aluminum Electrolytic Capacitor - Audio Grade - 10 pack,Library:CAP-A,REVIEW,generic D<=10mm / P2.5mm prototype footprint; choose exact capacitor footprint for production
CAP-303,Ceramic Disk Capacitors - 10 pack,Library:C_Disc_D5.0mm_W2.5mm_P5.00mm,HIGH,local copy of KiCad 10.0.5 default footprint
CAP-EBP-,Aluminum Electrolytic Capacitor - Non-Polarized - 10 pack,Library:CAP-EBP,REVIEW,generic D<=10mm / P2.5mm prototype footprint; choose exact capacitor footprint for production
DI-G-1017,1N34A - Germanium Diode,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-G-D9B,D9B - NOS Soviet Germanium Diode,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1027,1N5817 - Schottky Diode - 10 pack,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1004,1N4148 - Small Signal Diode - 10 pack,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1000,1N914 - Small Signal Diode - 10 pack,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-G-D9G,D9G - NOS Soviet Germanium Diode,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-G-D9J,D9J - NOS Soviet Germanium Diode,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-G-D9K,D9K - NOS Soviet Germanium Diode,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-G-1015,1N60 - Germanium Diode,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1010,1N4001 - Rectifier Diode - 10 pack,Library:D_DO-41_SOD81_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-G-D2J,D2J - NOS Soviet Germanium Diode,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-G-D9E,D9E - NOS Soviet Germanium Diode,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-G-D9V,D9V - NOS Soviet Germanium Diode,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1029,BAT41 - Schottky Diode - 10 Pack,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1034,BAS33 - Small Signal Diode - 10 pack,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1011,1N4002 - Rectifier Diode - 10 pack,Library:D_DO-41_SOD81_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1019,1N4004 - Rectifier Diode - 10 pack,Library:D_DO-41_SOD81_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1031,1N60P - Schottky Diode - 10 Pack,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1028,1N5819 - Schottky Diode - 10 pack,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1032,1N5227B - Zener Diode 3.6V - 10 pack,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
DI-1036,BAV21 - Small Signal Diode - 10 pack,Library:D_DO-35_SOD27_P10.16mm_Horizontal,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1000,2N5088 - NPN Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1028,2N5089 - NPN Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1073,2N5457 - JFET,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1017,2N3904 - NPN Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1201,J201 - JFET Transistor - SMT to TO92,Library:SOT-23,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1016,BS170 - MOSFET Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1046,2N5458 - JFET,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1004,2N5087 - PNP Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1071,2N2222A - NPN Transistor - NOS,Library:TO-18-3,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1058,BC108B - NPN Transistor,Library:TO-18-3,HIGH,local copy of KiCad 10.0.5 default footprint
Q-GT402,GT402 PNP Germanium Transistor,Library:Q-GT402,REVIEW,custom universal metal-can footprint; VERIFY pin order and lead circle before PCB fabrication
Q-1057,BC109 - NPN Transistor,Library:TO-18-3,HIGH,local copy of KiCad 10.0.5 default footprint
Q-S-0201,MMBFJ201 - JFET,Library:SOT-23,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1113,J113 - JFET,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1022,2N4401 - NPN Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1613,2N1613 - NPN Transistor,Library:Q-1613,REVIEW,custom footprint; verify against purchased revision before manufacturing
Q-1202,J202 - JFET,Library:TO-92_Inline,HIGH,mapped to standard TO-92 package
Q-MP42B,MP42B PNP Germanium Transistor,Library:Q-MP42B,REVIEW,custom universal metal-can footprint; VERIFY pin order and lead circle before PCB fabrication
Q-1079,MPS8599 - PNP Transistor,Library:TO-92_Inline,HIGH,mapped to standard TO-92 package
Q-1077,MPS751 - PNP Transistor,Library:TO-92_Inline,HIGH,mapped to standard TO-92 package
Q-1041,MPSA18 - NPN Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1043,2N7000 - MOSFET Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1059,BC108 - NPN Transistor - NOS TI,Library:TO-18-3,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1070,BC549C - NPN Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1011,MPSA13 - NPN Darlington Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1019,2N3906 - PNP Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-5102,PF5102 - JFET,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1015,BC550B - NPN Transistor - NOS,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1060,BC109C - NPN Transistor,Library:TO-18-3,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1030,BC108C - NPN Transistor,Library:TO-18-3,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1021,2N4125 - PNP Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-S-5457,MMBF5457 - JFET,Library:SOT-23,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1031,BC108 - NPN Transistor - NOS CDIL,Library:TO-18-3,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1055,BC183B - NPN Transistor - NOS TI,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1036,2SC1815GR - NPN Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
Q-1039,BC549B - NPN Transistor,Library:TO-92_Inline,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1064,TL072IP - Dual Op-Amp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1154,TL072CP - Dual Op-Amp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1092,JRC4558D - Dual Op-Amp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1094,PT2399 - Digital Delay IC,Library:DIP-16_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1048,RC4558P - Dual Op-Amp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1101,TL071 - Op-Amp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1040,NE5532P - Dual Op-Amp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1180,JRC4580D - Dual OpAmp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1032,V3102D - BBD Clock IC,Library:DIP-8_W7.62mm,HIGH,mapped to 8-pin DIP form used by listed through-hole part
